Abcázio	ab
Afar	aa
africânder	af
Albaniano	sq
Alemão	de
Amárico	am
Árabe	ar
Aragonês	an
Armenico	hy
Assamês	as
Aimará	ay
Azerbaijano	az
Baxekir	ba
Basco	eu
Bengali	bn
Biari	bh
Bislamá	bi
Bretão	br
Búlgaro	bg
Birmanês	my
Bielorusso	be
Cachemir	ks
Catalão	ca
Chinês	zh
ChiTsonga	ts
Chona	sn
Corso	co
Cazaque	kk
Coreâno	ko
Curdo	ku
Criolo-Haitiano	ht
Croata	hr
Dinamarquês	da
Esperanto	eo
Estoniano	et
Eslovaco	sk
Esloveno	sl
Espanhol	es
Feroês	fo
Fidjiano	fj
Finlandês	fi
Francês	fr
Frísio	fy
Galego	gl
Gaélico-Escocês	gd
Galês	cy
Georgiano	ka
Grego	el
Groenlandês	kl
Guarani	gn
Gujarati	gu
Inglês	en
Hauçá	ha
Hebraico	he
Hebraico    iw
Hindi	hi
Holândes	nl
Húngaro	hu
Iídiche	ji
Iídiche	yi
Iorubá	yo
Islandês	is
Ido	io
Indonésio	id
Indonésio	in
Interlingua	ia
Interlingua	ie
Inuktitut	iu
Inupiaq	ik
Irlandês	ga
Italiano	it
Japonês	ja
Japonês	jv
Kannada	kn
Laociano	lo
Latim	la
Letão	lv
Limburguês	li
Lingala	ln
Lituano	lt
Macedônio	mk
Malgaxe	mg
Malaio	ms
Malaiala	ml
Madívio	dv
Maltês	mt
Manês	gv
Maori	mi
Marata	mr
Moldávio	mo
Mongol	mn
Nauru	na
Nepalês	ne
Norueguês	no
Occitano	oc
Oriya	or
Oromo	om
Pashto	ps
Persa	fa
Polaco	pl
Português	pt
Punjabi	pa
Quirguiz	ky
Quechua	qu
Reto-Romano	rm
Romaniano	ro
Rundi	rn
Russo	ru
Samoano	sm
Sango	sg
Sânscrito	sa
Sérvio	sr
Sesotho	st
Sindi	sd
Sinhalês	si
Swati	ss
Sundanês	su
Swahili	sw
Somali	so
Sueco	sv
Tagalo	tl
Tadjique	tg
Tâmil	ta
Tártaro	tt
Tcheco	cs
Telugu	te
Tailândes	th
Tibetano	bo
Tigrinya	ti
Tonganês	to
Tswana	tn
Turco	tr
Turcomano	tk
Twi	tw
Uigure	ug
Ucraniano	uk
Urdu	ur
Uzbeque	uz
Vietnamita	vi
Volapük	vo
Valão	wa
Wolof	wo
Xhosa	xh
Yi-de-Sichuan	ii
Zoncá	dz
Zulu	zu
